word,number,median_position
fictional,2662,0.11803130644190246
year,17728,0.19155306408459677
protagonist,3121,0.2
century,3023,0.20454545454545456
wealthy,5547,0.23529411764705882
opens,7246,0.23813158851326788
los,3081,0.26476578411405294
student,6458,0.2651546274107041
recently,3769,0.27354709418837675
ii,2837,0.27631578947368424
thanks,2948,0.6841732518264501
truth,7162,0.6866165250167682
replies,2603,0.692929292929293
end,22713,0.7099811676082862
finally,18262,0.7212466467268971
shoots,7530,0.7394553161101577
final,11538,0.7910872442878428
ending,3956,0.8294952402595763
ends,18086,0.8297872340425532
happily,2757,0.8730054285244283
